
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
658221 263288 230377 2764.77 1293.12 393595 
CV Recruit
1.81001 
Alternative 1 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2029 658221 263288 230377 118316 216528 255710 531728 148760 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0.313047 0.313047 0.313047 0.313047 4.32987e-15 
2018  0 0.26504 0.313047 0.313047 0.313047 0.313047 0.313047 4.32987e-15 
2019  0 0.26504 0.313047 0.289812 0.292837 0.295344 0.313047 0.00644974 
2020  0 0.26504 0.313047 0.193709 0.210271 0.222984 0.313047 0.0331086 
2021  0 0.26504 0.313047 0.144127 0.191627 0.208638 0.313047 0.0556088 
2022  0 0.26504 0.313047 0.128663 0.212344 0.221889 0.313047 0.0655405 
2023  0 0.26504 0.313047 0.12766 0.235733 0.234508 0.313047 0.0677725 
2024  0 0.26504 0.313047 0.12591 0.249196 0.241057 0.313047 0.0678806 
2025  0 0.26504 0.313047 0.125694 0.251505 0.242507 0.313047 0.0675271 
2026  0 0.26504 0.313047 0.127959 0.246059 0.243361 0.313047 0.0664063 
2027  0 0.26504 0.313047 0.130118 0.248788 0.243552 0.313047 0.0666131 
2028  0 0.26504 0.313047 0.130675 0.252927 0.243988 0.313047 0.066077 
2029  0 0.26504 0.313047 0.131603 0.254522 0.243752 0.313047 0.0654974 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 870895 1.20479e+06 1.51428e+06 3.29943e+06 897301 
2019 2.53966e+06 1.78239e+06 1.71454e+06 702227 1.19267e+06 1.53069e+06 3.54128e+06 988160 
2020 2.53966e+06 1.78239e+06 1.71454e+06 608419 1.24362e+06 1.59639e+06 3.81189e+06 1.10403e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 573388 1.30692e+06 1.6982e+06 4.12232e+06 1.2032e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 579801 1.33699e+06 1.71286e+06 4.13684e+06 1.20016e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 581868 1.43484e+06 1.79323e+06 4.12297e+06 1.21424e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 592235 1.46193e+06 1.78888e+06 4.1257e+06 1.20463e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 610725 1.44597e+06 1.77183e+06 3.96712e+06 1.21804e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 625936 1.40798e+06 1.75965e+06 3.9531e+06 1.20583e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 601357 1.39319e+06 1.75403e+06 4.18361e+06 1.21076e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 595492 1.38515e+06 1.73844e+06 4.02359e+06 1.17121e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 609775 1.3609e+06 1.72303e+06 3.98338e+06 1.14509e+06 
Alternative 7 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 176710 176758 176831 177229 203.765 
2018  0 135281 146281 122563 123668 125264 134023 4478 
2019  0 135281 146281 99635.4 109563 120891 183504 32847.9 
2020  0 135281 146281 45752.6 68420.2 93059.7 226054 67895.4 
2021  0 135281 146281 27613.9 64730.4 99046.7 284566 90467.4 
2022  0 135281 146281 19431.6 74717.3 109661 324367 102215 
2023  0 135281 146281 20867.7 90530.9 128016 345297 111684 
2024  0 135281 146281 22661.5 100793 138192 355030 117162 
2025  0 135281 146281 25868.9 102729 141155 365895 117470 
2026  0 135281 146281 25024.9 103083 140331 372962 116434 
2027  0 135281 146281 25887.4 102922 138642 363961 115976 
2028  0 135281 146281 25653.8 105583 135778 348758 114148 
2029  0 135281 146281 25615 101108 134556 352884 113578 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 397851 397851 397851 397853 1.13218 
2018 658221 263288 230377 367123 367438 367911 370520 1335.59 
2019 658221 263288 230377 264260 266808 269705 285750 8454.43 
2020 658221 263288 230377 177808 191347 205797 287258 42461.5 
2021 658221 263288 230377 133962 171704 199747 374702 86223.4 
2022 658221 263288 230377 119430 185788 221182 451880 116945 
2023 658221 263288 230377 117075 202484 241667 522171 133199 
2024 658221 263288 230377 114838 213103 255972 540753 144956 
2025 658221 263288 230377 114407 214588 260724 559427 152286 
2026 658221 263288 230377 115647 210171 261289 560848 152148 
2027 658221 263288 230377 117298 212168 260526 559720 150534 
2028 658221 263288 230377 117671 215321 258627 564573 150011 
2029 658221 263288 230377 118337 216541 255769 531839 148770 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2018  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2019  0 0.26504 0.313047 0.313047 0.313047 0.313047 0.313047 4.32987e-15 
2020  0 0.26504 0.313047 0.20606 0.223005 0.235054 0.313047 0.0313149 
2021  0 0.26504 0.313047 0.151184 0.19842 0.214553 0.313047 0.0538437 
2022  0 0.26504 0.313047 0.132999 0.216049 0.224681 0.313047 0.0641361 
2023  0 0.26504 0.313047 0.130051 0.236946 0.235885 0.313047 0.0669265 
2024  0 0.26504 0.313047 0.12725 0.250235 0.241745 0.313047 0.0674036 
2025  0 0.26504 0.313047 0.126711 0.252094 0.24288 0.313047 0.0672726 
2026  0 0.26504 0.313047 0.128262 0.246565 0.243575 0.313047 0.0662766 
2027  0 0.26504 0.313047 0.130329 0.249065 0.243677 0.313047 0.0665461 
2028  0 0.26504 0.313047 0.130796 0.253011 0.244062 0.313047 0.0660416 
2029  0 0.26504 0.313047 0.131629 0.254539 0.243795 0.313047 0.0654776 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 902955 1.23686e+06 1.54635e+06 3.33163e+06 897318 
2019 2.53966e+06 1.78239e+06 1.71454e+06 745491 1.23613e+06 1.57427e+06 3.58487e+06 988388 
2020 2.53966e+06 1.78239e+06 1.71454e+06 628884 1.26491e+06 1.61789e+06 3.83235e+06 1.10468e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 583843 1.31732e+06 1.70804e+06 4.12354e+06 1.20317e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 585478 1.33791e+06 1.71722e+06 4.14108e+06 1.19984e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 585327 1.43687e+06 1.79532e+06 4.12617e+06 1.21396e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 593224 1.46235e+06 1.78992e+06 4.12739e+06 1.2045e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 612328 1.44649e+06 1.77242e+06 3.96744e+06 1.21797e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 626391 1.40838e+06 1.76002e+06 3.95334e+06 1.20581e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 601578 1.3933e+06 1.75426e+06 4.18353e+06 1.21077e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 595546 1.38544e+06 1.73859e+06 4.0237e+06 1.17122e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 609794 1.36098e+06 1.72311e+06 3.98364e+06 1.14509e+06 
